hand_id,finger_id,samples,duration_s,median_dt_s,median_step_px,p95_step_px,max_step_px,p95_velocity_px_s,large_jump_count,unstable_sample_count,no_zone_sample_count,zone_jitter_switches,top_zone,top_reason,tracking_sources
1,4,32,2.3563008999917656,0.07569800002966076,3.0,25.670666691727632,64.35060217278468,333.94724935353383,2,0,0,1,B4,pressed,"{""legacy"": 32}"
1,8,32,2.3563008999917656,0.07569800002966076,2.23606797749979,28.783504397769264,55.97320787662612,373.6128716647849,3,0,0,1,A4,pressed,"{""legacy"": 32}"
1,12,32,2.3563008999917656,0.07569800002966076,2.0,34.372746193178024,68.5054742338158,394.32438475310175,2,1,0,1,F4,not_armed,"{""legacy"": 32}"
1,16,32,2.3563008999917656,0.07569800002966076,2.23606797749979,33.71345168778941,61.61980201201558,434.6564251854327,2,0,0,2,E4,pressed,"{""legacy"": 32}"
1,20,32,2.3563008999917656,0.07569800002966076,1.4142135623730951,30.98672961564158,63.52952069707436,400.97609630965076,2,0,0,0,D4,not_armed,"{""legacy"": 32}"
3,4,46,3.393099900044035,0.07557260000612587,1.0,2.23606797749979,2.23606797749979,29.039311018280227,0,0,0,0,B4,armed,"{""legacy"": 46}"
3,8,46,3.393099900044035,0.07557260000612587,1.0,14.255856784929886,39.05124837953327,184.43271586871802,2,0,0,0,A4,pressed,"{""legacy"": 46}"
3,12,46,3.393099900044035,0.07557260000612587,1.4142135623730951,12.94558441227157,27.65863337187866,179.75876856448627,1,0,0,3,F4,not_armed,"{""legacy"": 46}"
3,16,46,3.393099900044035,0.07557260000612587,2.23606797749979,12.083097297110728,26.92582403567252,158.423652573833,1,0,0,0,E4,not_armed,"{""legacy"": 46}"
3,20,46,3.393099900044035,0.07557260000612587,2.23606797749979,17.974703349048966,35.38361202590826,249.08227298483035,2,0,0,2,D4,not_armed,"{""legacy"": 46}"
4,4,3,0.15002949995687231,0.07501474997843616,0.0,0.0,0.0,0.0,0,0,0,0,B4,armed,"{""legacy"": 3}"
