hand_id,finger_id,samples,duration_s,median_dt_s,median_step_px,p95_step_px,max_step_px,p95_velocity_px_s,large_jump_count,unstable_sample_count,no_zone_sample_count,zone_jitter_switches,top_zone,top_reason,tracking_sources
0,4,31,2.289116900006775,0.07402814997476526,1.0,37.121667753307555,69.6419413859206,398.8835477685594,3,0,1,1,B4,armed,"{""legacy+refined"": 31}"
0,8,31,2.289116900006775,0.07402814997476526,1.0,44.4830225186233,70.83078426785913,452.71694426567467,3,1,0,1,A4,not_armed,"{""legacy+refined"": 31}"
0,12,31,2.289116900006775,0.07402814997476526,2.23606797749979,33.82155043153806,70.45565981523414,333.1147898152432,2,0,0,7,F4,pressed,"{""legacy+refined"": 31}"
0,16,31,2.289116900006775,0.07402814997476526,2.23606797749979,33.7243601195843,70.83784299369935,339.7382186863623,2,1,0,1,E4,pressed,"{""legacy+refined"": 31}"
0,20,31,2.289116900006775,0.07402814997476526,1.4142135623730951,31.552468256389282,70.178344238091,324.2579060839835,2,1,0,5,D4,not_armed,"{""legacy+refined"": 31}"
2,4,14,0.9890266999718733,0.07256130001042038,1.4142135623730951,6.853252939535664,9.055385138137417,75.89540885451451,0,0,0,0,B4,armed,"{""legacy+refined"": 14}"
2,8,14,0.9890266999718733,0.07256130001042038,8.06225774829855,15.620162064245825,22.825424421026653,211.5245647152539,0,7,0,1,A4,unstable_tracking,"{""legacy+refined"": 14}"
2,12,14,0.9890266999718733,0.07256130001042038,6.708203932499369,30.410597567634657,50.21951811795888,432.6493915669928,1,0,0,1,G4,not_armed,"{""legacy+refined"": 14}"
2,16,14,0.9890266999718733,0.07256130001042038,3.0,18.250181991876133,36.138621999185304,255.83433324308032,1,0,0,1,E4,not_armed,"{""legacy+refined"": 14}"
2,20,14,0.9890266999718733,0.07256130001042038,1.4142135623730951,16.186237536398142,16.278820596099706,219.77944408971166,0,0,0,0,E4,not_armed,"{""legacy+refined"": 14}"
3,4,57,4.176367099978961,0.07428270002128556,1.2071067811865475,4.030776406404415,5.385164807134504,54.214041873734494,0,1,0,0,B4,armed,"{""legacy+refined"": 57}"
3,8,57,4.176367099978961,0.07428270002128556,1.0,7.592041206238852,20.024984394500787,103.89716070615623,0,0,0,0,A4,not_armed,"{""legacy+refined"": 57}"
3,12,57,4.176367099978961,0.07428270002128556,2.0,13.034723542380135,25.298221281347036,174.71170320322926,1,0,0,2,F4,not_armed,"{""legacy+refined"": 57}"
3,16,57,4.176367099978961,0.07428270002128556,3.1622776601683795,11.536920278171998,20.248456731316587,159.21604064261857,0,0,0,2,E4,not_armed,"{""legacy+refined"": 57}"
3,20,57,4.176367099978961,0.07428270002128556,2.23606797749979,18.608348539409178,40.80441152620633,252.4652628961854,2,0,0,5,D4,pressed,"{""legacy+refined"": 57}"
6,4,31,2.205491999979131,0.07274100001086481,1.0,21.425332097203906,25.019992006393608,299.0482201628703,1,0,0,0,B4,pressed,"{""legacy+refined"": 31}"
6,8,31,2.205491999979131,0.07274100001086481,1.4142135623730951,5.9239283526803845,70.83784299369935,86.18801129027464,1,1,0,0,A4,not_armed,"{""legacy+refined"": 31}"
6,12,31,2.205491999979131,0.07274100001086481,1.0,5.25639942504073,19.313207915827967,71.74577987866455,0,0,0,0,F4,not_armed,"{""legacy+refined"": 31}"
6,16,31,2.205491999979131,0.07274100001086481,1.4142135623730951,5.062421073692858,11.704699910719626,59.55052439432349,0,0,0,0,E4,not_armed,"{""legacy+refined"": 31}"
6,20,31,2.205491999979131,0.07274100001086481,1.4142135623730951,3.089252713092608,7.0710678118654755,40.38406513368999,0,0,0,0,D4,not_armed,"{""legacy+refined"": 31}"
