frame_index,timestamp,note_id,sound_id,hand_id,finger_id,velocity,volume
105,7.827324100013357,F4,f4,0,12,163.07799158243023,0.2863277543956395
106,7.938378699996974,E4,e4,0,16,153.07785541983648,0.25854959838843466
126,9.421146500040777,B4,b4,0,4,247.95437630394332,0.5220954897331759
144,10.77157929999521,A4,a4,2,8,264.27024571455195,0.5674173492070888
174,12.996446100005414,D4,d4,3,20,400.51372572504755,0.9458714603473543
185,13.8218289000215,E4,e4,3,16,253.96216249997659,0.5387837847221572
186,13.898694600036833,B4,b4,3,4,91.06792754900685,0.22
220,16.418371200037654,B4,b4,6,4,204.7714476660943,0.40214291018359527
