hand_id,finger_id,samples,duration_s,median_dt_s,median_step_px,p95_step_px,max_step_px,p95_velocity_px_s,large_jump_count,unstable_sample_count,no_zone_sample_count,zone_jitter_switches,top_zone,top_reason,tracking_sources
4,4,3,0.18752819998189807,0.09376409999094903,9.45212146996676,9.80918416861317,9.848857801796104,128.29615929842132,0,2,0,0,C5,unstable_tracking,"{""legacy"": 3}"
4,8,3,0.18752819998189807,0.09376409999094903,2.414213562373095,2.7870057685088807,2.8284271247461903,36.5769597068032,0,2,0,0,B4,unstable_tracking,"{""legacy"": 3}"
4,12,3,0.18752819998189807,0.09376409999094903,6.0239857910195385,8.89998859066555,9.219544457292887,79.91783854510346,0,2,0,0,G4,unstable_tracking,"{""legacy"": 3}"
4,16,3,0.18752819998189807,0.09376409999094903,12.808652021137988,19.747321277928673,20.518284528683193,177.0647796455489,0,2,0,0,G4,unstable_tracking,"{""legacy"": 3}"
4,20,3,0.18752819998189807,0.09376409999094903,13.908685507428542,22.40158010461461,23.345235059857504,200.5774666533341,0,2,0,0,F4,unstable_tracking,"{""legacy"": 3}"
6,4,239,17.79739469999913,0.07387860000017099,1.0,12.463919345325019,33.24154027718932,149.2001606431293,2,2,0,2,B4,pressed,"{""legacy"": 239}"
6,8,239,17.79739469999913,0.07387860000017099,1.0,15.716778696424301,60.00833275470999,217.72821282731132,4,2,0,3,A4,not_armed,"{""legacy"": 239}"
6,12,239,17.79739469999913,0.07387860000017099,1.0,7.01066017177982,35.84689665786984,98.32738245933206,2,2,0,1,G4,not_armed,"{""legacy"": 239}"
6,16,239,17.79739469999913,0.07387860000017099,1.4142135623730951,9.219544457292887,31.400636936215164,120.51727930309806,1,2,0,6,F4,not_armed,"{""legacy"": 239}"
6,20,239,17.79739469999913,0.07387860000017099,1.4142135623730951,11.522474455702708,41.048751503547585,147.28041099693985,3,2,0,1,E4,pressed,"{""legacy"": 239}"
7,4,15,1.0524957000161521,0.07363634998910129,0.5,1.4142135623730951,1.4142135623730951,21.126433722235177,0,2,0,0,B4,armed,"{""legacy"": 15}"
7,8,15,1.0524957000161521,0.07363634998910129,1.0,2.0,2.0,27.119357910776877,0,2,0,0,A4,not_armed,"{""legacy"": 15}"
7,12,15,1.0524957000161521,0.07363634998910129,1.0,2.4844863997923636,4.47213595499958,37.26056453803545,0,2,0,0,G4,not_armed,"{""legacy"": 15}"
7,16,15,1.0524957000161521,0.07363634998910129,1.0,2.5602413664337957,3.1622776601683795,36.126701876313206,0,2,0,0,F4,not_armed,"{""legacy"": 15}"
7,20,15,1.0524957000161521,0.07363634998910129,1.4142135623730951,30.680764478699007,40.311288741492746,432.6298543959653,2,2,0,0,E4,not_armed,"{""legacy"": 15}"
8,4,3,0.1463637999841012,0.0731818999920506,2.2071067811865475,2.9207106781186543,3.0,53.48565230688125,0,2,0,0,B4,unstable_tracking,"{""legacy"": 3}"
8,8,3,0.1463637999841012,0.0731818999920506,0.0,0.0,0.0,0.0,0,2,0,0,A4,unstable_tracking,"{""legacy"": 3}"
8,12,3,0.1463637999841012,0.0731818999920506,0.5,0.95,1.0,17.573196992625864,0,2,0,0,G4,unstable_tracking,"{""legacy"": 3}"
8,16,3,0.1463637999841012,0.0731818999920506,1.118033988749895,2.1242645786248002,2.23606797749979,39.2948630575063,0,2,0,0,F4,unstable_tracking,"{""legacy"": 3}"
8,20,3,0.1463637999841012,0.0731818999920506,2.7071067811865475,3.8707106781186544,4.0,71.05884929950712,0,2,0,0,E4,unstable_tracking,"{""legacy"": 3}"
9,4,87,6.406437000026926,0.0736542500089854,1.0,14.818499628285785,41.14608122288197,200.2598796905105,3,2,0,0,B4,armed,"{""legacy"": 87}"
9,8,87,6.406437000026926,0.0736542500089854,1.0,31.356177351351718,60.8276253029822,399.7658371217492,6,2,0,0,A4,not_armed,"{""legacy"": 87}"
9,12,87,6.406437000026926,0.0736542500089854,1.0,7.982958810897566,36.796738985948195,93.8475769377224,1,2,0,0,G4,not_armed,"{""legacy"": 87}"
9,16,87,6.406437000026926,0.0736542500089854,1.0,6.368033988749895,11.661903789690601,74.22629456227789,0,2,0,0,F4,not_armed,"{""legacy"": 87}"
9,20,87,6.406437000026926,0.0736542500089854,1.0,2.23606797749979,3.1622776601683795,32.313214953431554,0,2,0,0,E4,not_armed,"{""legacy"": 87}"
